[VAMS][2018-08-22 11:48:13,145] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:48:23,150] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:48:33,155] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:48:43,160] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:48:53,164] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:49:03,170] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:49:13,176] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:49:23,182] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:49:33,188] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:49:43,195] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:49:53,198] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:50:03,204] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:50:13,210] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:50:23,216] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:50:33,222] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:50:43,226] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:50:53,231] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:51:03,236] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:51:13,244] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:51:23,249] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:51:33,254] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:51:43,260] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:51:53,265] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:52:03,271] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:52:13,276] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:52:23,281] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:52:33,288] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:52:43,292] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:52:53,298] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:53:03,305] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:53:13,309] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:53:23,316] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:53:33,321] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:53:43,326] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:53:53,332] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:54:03,338] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:54:13,342] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2018-08-22 11:54:23,349] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
